,UNITDESC,STNAME_ORD,XSTRLO,XSTRHI,ARTCLASS,SPEEDLIMIT,SURFACETYPE_1,PVMTCONDINDX1,PVMTCONDINDX2,TRANCLASS,SLOPE_PCT,SHAPE_Length
0,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,1ST AVE,SENECA ST,UNIVERSITY ST,2.0,25.0,PCC,87.0,62.0,1,4.0,305.966050124338
1,1ST AVE BETWEEN PIKE ST AND PINE ST,1ST AVE,PIKE ST,PINE ST,2.0,25.0,AC/PCC,57.0,58.0,1,5.0,426.031562335952
2,1ST AVE N BETWEEN VALLEY UPPER ST AND ALOHA ST,1ST AVE N,VALLEY UPPER ST,ALOHA ST,0.0,20.0,PCC,0.0,0.0,0,17.0,297.147592150957
3,1ST AVE N BETWEEN LYNN ST AND MCGRAW S ST,1ST AVE N,LYNN ST,MCGRAW S ST,0.0,20.0,AC,9.0,0.0,0,3.0,174.804982911029
4,1ST AVE N BETWEEN FULTON S ST AND FULTON N ST,1ST AVE N,FULTON S ST,FULTON N ST,0.0,20.0,PCC,0.0,0.0,0,5.0,73.1107078207429
5,1ST AVE NE BETWEEN NE 60TH ST AND NE 61ST ST,1ST AVE NE,NE 60TH ST,NE 61ST ST,0.0,20.0,PCC,92.0,0.0,0,3.0,212.585995859351
6,1ST AVE NE BETWEEN N 122ND ST AND CORLISS S AVE N,1ST AVE NE,N 122ND ST,CORLISS S AVE N,3.0,25.0,ST,36.0,0.0,3,2.0,837.063531957846
7,1ST AVE NW BETWEEN N 42ND E ST AND NW 43RD ST,1ST AVE NW,N 42ND E ST,NW 43RD ST,0.0,20.0,PCC,65.0,0.0,0,5.0,677.122039886288
8,1ST AVE NW BETWEEN NW 53RD ST AND N 54TH ST,1ST AVE NW,NW 53RD ST,N 54TH ST,0.0,20.0,PCC,61.0,0.0,0,0.0,152.414888159229
9,1ST AVE NW BETWEEN NW 65TH ST AND NW 67TH ST,1ST AVE NW,NW 65TH ST,NW 67TH ST,0.0,20.0,PCC,48.0,0.0,0,2.0,649.833791179326
10,1ST AVE NW BETWEEN NW 78TH ST AND NW 79TH ST,1ST AVE NW,NW 78TH ST,NW 79TH ST,0.0,20.0,PCC,71.0,0.0,0,1.0,266.487380318173
11,1ST AVE NW BETWEEN NW 100TH ST AND NW 101ST ST,1ST AVE NW,NW 100TH ST,NW 101ST ST,0.0,20.0,ST,96.0,0.0,0,1.0,264.727467316414
12,1ST AVE NW BETWEEN NW 107TH ST AND NW 110TH ST,1ST AVE NW,NW 107TH ST,NW 110TH ST,0.0,20.0,AC,91.0,0.0,0,2.0,661.283476389633
13,1ST AVE NW BETWEEN NW 144TH ST AND NW 145TH ST,1ST AVE NW,NW 144TH ST,NW 145TH ST,0.0,20.0,ST,92.0,0.0,0,2.0,380.781227801573
14,1ST AVE S BETWEEN S ROYAL BROUGHAM WAY AND S ATLANTIC ST,1ST AVE S,S ROYAL BROUGHAM WAY,S ATLANTIC ST,1.0,25.0,AC/PCC,73.0,69.0,2,0.0,760.007305873135
15,1ST AVE S BETWEEN S FINDLAY ST AND S ORCAS ST,1ST AVE S,S FINDLAY ST,S ORCAS ST,1.0,30.0,AC/PCC,71.0,65.0,2,0.0,295.136059166174
16,1ST AVE W BETWEEN W JOHN ST AND W THOMAS ST,1ST AVE W,W JOHN ST,W THOMAS ST,3.0,25.0,PCC,56.0,0.0,0,6.0,425.67036000142
17,1ST AVE W BETWEEN W ROY ST AND DEAD END 1,1ST AVE W,W ROY ST,DEAD END 1,0.0,20.0,PCC,0.0,0.0,0,10.0,137.086612076834
18,1ST AVE W BETWEEN W CROCKETT ST AND W BOSTON ST,1ST AVE W,W CROCKETT ST,W BOSTON ST,0.0,20.0,AC,70.0,0.0,0,3.0,442.524538430859
19,1ST AV S ON RP BETWEEN SR509 NB AND 1ST S AVE S,1ST AV S ON RP,SR509 NB,1ST S AVE S,1.0,60.0,PCC,91.0,0.0,0,10.0,1451.03864040207
20,10TH AVE BETWEEN E SPRUCE ST AND E ALDER ST,10TH AVE,E SPRUCE ST,E ALDER ST,0.0,20.0,AC,20.0,0.0,0,7.0,306.876327328389
21,10TH AVE E BETWEEN E BLAINE ST AND E HOWE ST,10TH AVE E,E BLAINE ST,E HOWE ST,2.0,25.0,AC/PCC,37.0,0.0,2,4.0,323.098810589824
22,10TH AVE E BETWEEN E BOSTON ST AND E LYNN ST,10TH AVE E,E BOSTON ST,E LYNN ST,2.0,25.0,PCC,82.0,0.0,2,6.0,417.255950895728
23,10TH AVE NW BETWEEN NW 125TH E ST AND NW 127TH ST,10TH AVE NW,NW 125TH E ST,NW 127TH ST,0.0,20.0,ST,68.0,0.0,0,1.0,660.008333987975
24,10TH AVE S BETWEEN E YESLER WAY AND S WASHINGTON ST,10TH AVE S,E YESLER WAY,S WASHINGTON ST,0.0,20.0,PCC,86.0,0.0,0,6.0,309.949042807902
25,10TH AVE S BETWEEN S SOUTHERN ST AND S ROSE ST,10TH AVE S,S SOUTHERN ST,S ROSE ST,0.0,20.0,PCC,81.0,0.0,0,1.0,286.914966737404
26,10TH AVE W BETWEEN W RAYE N ST AND W BOTHWELL ST,10TH AVE W,W RAYE N ST,W BOTHWELL ST,3.0,25.0,AC/PCC,74.0,0.0,3,3.0,149.689235975758
27,11TH AVE BETWEEN E FIR ST AND E SPRUCE ST,11TH AVE,E FIR ST,E SPRUCE ST,0.0,20.0,AC,19.0,0.0,0,7.0,302.088945766562
