UNITDESC,SIGNAL_TYPE,COMPTYPE,CONDITION,ARTERIAL_CLASS,INT_SIGNAL_TYPE_CD,PEDSIGNALYN,PEDAUDIODEVICEYN,PP_QUANTITY,PH_QUANTITY,BIKESIGNALHDYN,LTTURNSIGNALYN,RTTURNSIGNALYN,DETDEVSTOPBARYN,DETDEVADVANCEDYN,DETDEVSYSTEMYN,NUM_ATTACHMENTS
4TH AVE AND PINE ST                                                                                                                                                                                                                                            ,PRE,74,FAIR,1.0,CITY,N,N,0,8,Y,N,N,N,N,N,0
5TH AVE S AND S MAIN ST                                                                                                                                                                                                                                        ,PRE,74,FAIR,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
23RD AVE AND E ALDER ST                                                                                                                                                                                                                                        ,SEMI,74,POOR,1.0,HALFPED,Y,N,2,2,N,N,N,N,N,N,0
MINOR AVE AND STEWART ST                                                                                                                                                                                                                                       ,PRE,74,POOR,1.0,CITY,N,N,0,16,N,N,N,N,N,N,0
EASTLAKE AVE E AND E ROANOKE ST                                                                                                                                                                                                                                ,SEMI,74,POOR,1.0,CITY,N,N,8,8,N,N,N,Y,N,N,0
6TH AVE AND STEWART ST                                                                                                                                                                                                                                         ,PRE,74,POOR,1.0,CITY,N,N,0,16,N,N,N,N,N,N,0
24TH AVE NW AND NW 70TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,2.0,HALFPED,Y,N,2,4,N,N,N,N,N,N,0
26TH AVE SW AND SW ROXBURY ST                                                                                                                                                                                                                                  ,SEMI,74,GOOD,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
RAINIER AVE S AND S BAYVIEW ST                                                                                                                                                                                                                                 ,SEMI,74,GOOD,1.0,CITY,N,N,4,8,N,Y,N,N,N,N,0
EASTLAKE AVE E AND E LOUISA ST                                                                                                                                                                                                                                 ,SEMI,74,POOR,1.0,HALFPED,Y,N,4,2,N,N,N,N,N,N,0
7TH AVE AND JAMES ST                                                                                                                                                                                                                                           ,FULL,74, ,1.0,STATE,N,N,4,0,N,N,N,N,N,N,0
FAUNTLEROY WAY SW AND SW EDMUNDS ST                                                                                                                                                                                                                            ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,0
1ST AVE S AND S WASHINGTON ST                                                                                                                                                                                                                                  ,SEMI,74,FAIR,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
1ST AVE N AND REPUBLICAN ST                                                                                                                                                                                                                                    ,PRE,74,FAIR,1.0,CITY,N,N,0,8,N,N,N,N,N,Y,0
4TH E AVE AND DENNY WAY                                                                                                                                                                                                                                        ,PRE,74,FAIR,1.0,CITY,N,N,0,6,N,N,N,N,N,N,0
8TH AVE AND CONVENTION CTR DR                                                                                                                                                                                                                                  ,SEMI,74,POOR,2.0,CITY,N,N,2,4,N,N,N,N,N,N,0
6TH AVE AND PIKE ST                                                                                                                                                                                                                                            ,PRE,74,FAIR,1.0,CITY,N,N,0,16,N,N,N,N,N,N,0
FAIRVIEW AVE N AND YALE AVE N                                                                                                                                                                                                                                  ,SEMI,74,POOR,1.0,HALFPED,Y,N,2,4,N,N,N,N,N,N,0
30TH AVE NE AND NE 145TH ST                                                                                                                                                                                                                                    ,SEMI,74,FAIR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
LAKE CITY WAY NE AND NE 110TH ST                                                                                                                                                                                                                               ,SEMI,74,POOR,1.0,CITY,N,N,4,6,N,N,N,N,N,N,0
WALLINGFORD AVE N AND N 34TH ST                                                                                                                                                                                                                                ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,0
ROOSEVELT WAY NE AND NE 80TH ST                                                                                                                                                                                                                                ,PRE,74,POOR,1.0,CITY,N,N,0,8,N,N,N,N,N,N,0
15TH AVE NE AND NE 65TH ST                                                                                                                                                                                                                                     ,FULL,74,GOOD,2.0,CITY,N,N,8,8,N,N,N,N,N,N,0
1ST AVE AND PIKE ST                                                                                                                                                                                                                                            ,PRE,74,FAIR,2.0,CITY,N,N,0,16,N,N,N,N,N,N,0
12TH AVE AND E PIKE ST                                                                                                                                                                                                                                         ,PRE,74,GOOD,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
20TH AVE NE AND LAKE CITY WAY NE                                                                                                                                                                                                                               ,SEMI,74,FAIR,1.0,CITY,N,Y,6,6,N,N,N,N,N,N,0
CALIFORNIA AVE SW AND SW CHARLESTOWN ST                                                                                                                                                                                                                        ,SEMI,74,POOR,2.0,CITY,N,N,4,8,N,N,N,N,N,N,0
3RD AVE AND CHERRY ST                                                                                                                                                                                                                                          ,PRE,74,POOR,1.0,CITY,N,N,0,15,N,N,N,N,N,N,0
1ST AVE NW AND NW 85TH ST                                                                                                                                                                                                                                      ,SEMI,74, ,1.0,CITY,N,N,4,16,N,N,N,N,N,N,0
20TH AVE SW AND SW ROXBURY ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,1.0,HALFPED,Y,N,2,4,N,N,N,N,N,N,0
RAINIER AVE S AND S WELLER ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,1.0,HALFPED,Y,N,2,4,N,N,N,N,N,N,0
6TH AVE S AND S LANDER ST                                                                                                                                                                                                                                      ,SEMI,74,GOOD,2.0,CITY,N,N,8,8,N,N,N,N,N,N,0
WALLINGFORD AVE N AND N 40TH ST                                                                                                                                                                                                                                ,PRE,74,FAIR,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
MELROSE AVE AND OLIVE WAY                                                                                                                                                                                                                                      ,PRE,74,POOR,1.0,CITY,N,N,9,12,N,N,N,N,N,N,0
NICKERSON ST AND WESTLAKE AVE N                                                                                                                                                                                                                                ,SEMI,74,POOR,1.0,CITY,N,N,10,20,N,Y,Y,N,N,N,0
RAINIER AVE S AND S FERDINAND ST                                                                                                                                                                                                                               ,SEMI,74,FAIR,1.0,CITY,N,N,4,8,N,Y,N,N,N,N,0
1ST AVE AND LENORA ST                                                                                                                                                                                                                                          ,PRE,74,POOR,2.0,CITY,N,N,0,16,N,N,N,N,N,N,0
BROADWAY E AND E REPUBLICAN ST                                                                                                                                                                                                                                 ,PRE,74,POOR,2.0,CITY,N,N,8,16,N,N,N,N,N,N,0
MERIDIAN AVE N AND N 130TH ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
ROOSEVELT WAY NE AND NE 70TH ST                                                                                                                                                                                                                                ,SEMI,74,GOOD,1.0,CITY,N,N,4,16,N,N,N,N,N,N,0
DENNY WAY AND FAIRVIEW AVE                                                                                                                                                                                                                                     ,FULL,74,FAIR,1.0,CITY,N,N,8,8,N,Y,N,N,N,N,0
7TH AVE AND BLANCHARD ST                                                                                                                                                                                                                                       ,PRE,74,GOOD,2.0,CITY,N,N,0,8,Y,N,N,N,N,N,0
16TH AVE SW AND SW HOLDEN ST                                                                                                                                                                                                                                   ,SEMI,74,FAIR,1.0,CITY,N,N,0,16,N,Y,Y,N,N,N,0
MONTLAKE BLVD E AND E HAMLIN ST                                                                                                                                                                                                                                ,SEMI,74,GOOD,1.0,CITY,N,N,0,8,N,Y,N,N,N,N,0
ELLIOTT AVE W AND W GALER ST FLYOVER                                                                                                                                                                                                                           ,SEMI,74,FAIR,1.0,CITY,N,N,2,8,N,Y,N,N,N,N,0
LATONA AVE NE AND EAST GREEN LAKE DR N                                                                                                                                                                                                                         ,SEMI,74,POOR,2.0,CITY,N,N,6,8,Y,N,N,N,N,N,0
3RD AVE AND WALL ST                                                                                                                                                                                                                                            ,PRE,74,POOR,1.0,CITY,N,N,0,16,N,N,N,N,N,N,0
24TH AVE NW AND NW 61ST ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,2.0,HALFPED,Y,N,2,4,N,N,N,N,N,N,0
12TH AVE AND E PINE ST                                                                                                                                                                                                                                         ,PRE,74,FAIR,2.0,CITY,N,N,0,8,N,Y,N,N,N,N,0
3RD AVE AND PINE ST                                                                                                                                                                                                                                            ,PRE,74,FAIR,1.0,CITY,N,N,0,16,N,N,N,N,N,N,0
MELROSE AVE AND PINE ST                                                                                                                                                                                                                                        ,PRE,74,FAIR,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
9TH AVE AND PINE ST                                                                                                                                                                                                                                            ,PRE,74,FAIR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
1ST AVE AND PINE ST                                                                                                                                                                                                                                            ,PRE,74,FAIR,2.0,CITY,N,N,0,16,N,N,N,N,N,N,0
3RD AVE NW AND NW 85TH ST                                                                                                                                                                                                                                      ,PRE,74,POOR,1.0,CITY,N,N,0,16,N,N,N,N,N,N,0
8TH AVE S AND S JACKSON ST                                                                                                                                                                                                                                     ,PRE,74,GOOD,1.0,CITY,N,N,0,6,N,N,N,N,N,N,1
14TH AVE NW AND NW MARKET ST                                                                                                                                                                                                                                   ,PRE,74,FAIR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,0
7TH AVE NE AND NE 42ND ST                                                                                                                                                                                                                                      ,SEMI,74, ,1.0,STATE,N,N,0,0,N,N,N,N,N,N,0
19TH AVE AND E MADISON ST                                                                                                                                                                                                                                      ,SEMI,74,FAIR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
6TH AVE BETWEEN UNIVERSITY ST AND UNION ST                                                                                                                                                                                                                     ,SEMI,74,POOR,0.0, ,Y,N,2,4,N,N,N,N,N,N,0
12TH AVE AND E COLUMBIA ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,2.0,CITY,N,N,4,16,N,N,N,N,N,N,0
12TH AVE AND E JEFFERSON ST                                                                                                                                                                                                                                    ,PRE,74,POOR,2.0,CITY,N,N,8,16,N,N,N,N,N,N,0
CALIFORNIA AVE SW AND ERSKINE WAY SW                                                                                                                                                                                                                           ,SEMI,74,POOR,2.0,CITY,N,N,4,20,N,Y,N,N,N,N,1
PIKE ST AND CONVENTION PL                                                                                                                                                                                                                                      ,SEMI,74, ,1.0,STATE,N,N,4,12,N,N,N,N,N,N,0
WALLINGFORD AVE N AND N 45TH ST                                                                                                                                                                                                                                ,SEMI,74,POOR,2.0,CITY,N,N,4,8,N,N,N,N,N,N,0
1ST AVE AND CHERRY ST                                                                                                                                                                                                                                          ,PRE,74,FAIR,2.0,CITY,N,N,0,6,N,N,N,N,N,N,0
1ST AVE S AND S ROYAL BROUGHAM WAY                                                                                                                                                                                                                             ,FULL,74,FAIR,1.0,CITY,N,N,8,16,N,Y,N,Y,N,N,0
15TH AVE S AND S DAKOTA ST                                                                                                                                                                                                                                     ,SEMI,74,GOOD,1.0,HALFPED,N,N,8,4,N,N,N,N,N,N,1
FREMONT PL N AND N 36TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,Y,N,6,12,N,Y,N,N,N,N,0
FAIRVIEW AVE N AND SLUSC N OF WARD                                                                                                                                                                                                                             ,SEMI,74,GOOD,0.0,MIDXWALK,N,N,0,0,N,N,N,N,N,N,0
M L KING JR WR WAY S AND S RAYMOND ST                                                                                                                                                                                                                          ,SEMI,74,GOOD,1.0,HALFPED,Y,N,3,4,N,N,N,N,N,N,0
LINDEN AVE N AND N 145TH ST                                                                                                                                                                                                                                    ,SEMI,74,FAIR,1.0,CITY,N,N,4,18,N,N,N,N,N,N,0
7TH AVE NE AND NE 50TH ST                                                                                                                                                                                                                                      ,SEMI,74, ,1.0,STATE,N,N,6,0,N,N,N,N,N,N,0
1ST AVE S AND S MASSACHUSETTS ST                                                                                                                                                                                                                               ,SEMI,74,GOOD,1.0,STATE,N,N,4,0,N,Y,N,Y,N,N,0
RAINIER AVE S AND S FRONTENAC ST                                                                                                                                                                                                                               ,SEMI,74,GOOD,1.0,CITY,Y,N,2,0,N,N,N,N,N,N,0
17TH AVE W AND W DRAVUS ST                                                                                                                                                                                                                                     ,SEMI,74,GOOD,1.0,NONE,N,Y,8,8,N,N,N,Y,Y,N,0
