X,Y,UNITDESC,ARTERIALCLASSCD,SIGNAL_TYPE,collision_count,streetlights,streetlights_height_avg,related_street_num,PVMTCONDINDX1_mean,SLOPE_PCT_mean,TRANCLASS_mean,SPEEDLIMIT_mean
-122.329731967,47.5230508380001,4TH AVE S AND S HENDERSON N ST,0.0,NONE,0,0,0.0,2.0,46.0,2.0,0.0,20.0
-122.371401132,47.6920578250001,12TH AVE NW AND NW 87TH ST,0.0,NONE,0,1,50.0,3.0,95.33333333333333,1.6666666666666667,0.0,20.0
-122.289175918,47.617639479,34TH AVE AND E HOWELL ST,3.0,NONE,0,2,50.0,4.0,43.0,7.25,1.5,22.5
-122.320648457,47.6740000520001,NE 63RD ST AND NE RAVENNA EB BV,1.0,NONE,1,1,0.0,1.0,78.0,0.0,0.0,20.0
-122.263467729,47.547164943,WILSON AVE S AND S UPLAND RD,2.0,NONE,1,1,50.0,3.0,43.333333333333336,4.0,0.0,23.333333333333332
-122.360652282,47.684739612,3RD AVE NW AND NW 77TH ST,3.0,NONE,6,1,50.0,4.0,77.75,2.0,0.0,22.5
-122.30536138,47.695748585,RAVENNA AVE NE AND NE 92ND ST,1.0,NONE,14,0,0.0,4.0,68.0,3.0,1.5,22.5
-122.286434258,47.5996429530001,LAKESIDE UPPER AVE S AND S LESCHI PL,0.0,NONE,2,1,55.0,2.0,95.0,6.0,0.0,20.0
-122.280735285,47.5370490060001,42ND AVE S AND S OTHELLO ST,2.0,NONE,10,2,33.0,2.0,81.0,1.5,3.0,25.0
-122.296116333,47.6188993310001,M L KING JR WAY AND E DENNY WAY,3.0,NONE,19,1,55.0,3.0,39.0,6.333333333333333,1.0,21.666666666666668
-122.338504194,47.6650353050001,WOODLAWN AVE N AND N 50TH E ST,1.0,NONE,16,1,50.0,1.0,55.0,1.0,0.0,20.0
-122.340919002,47.7304917390001,INTERLAKE AVE N AND N 140TH E ST,0.0,NONE,0,1,40.0,1.0,56.0,1.0,0.0,20.0
-122.284863206,47.5169835900001,38TH AVE S AND S ROXBURY ST,0.0,NONE,0,1,40.0,3.0,86.0,7.0,0.0,20.0
-122.380779124,47.5210982610001,38TH AVE SW AND SW BARTON W ST,2.0,NONE,1,1,50.0,1.0,90.0,9.0,0.0,20.0
-122.344714015,47.653405965,BRIDGE WAY N AND WOODLAND PK S AVE N,2.0,NONE,11,0,0.0,2.0,74.0,4.5,2.0,25.0
-122.299012562,47.5854812680001,26TH AVE S AND S PLUM ST,0.0,NONE,0,1,35.0,3.0,64.66666666666667,3.3333333333333335,0.0,20.0
-122.303738935,47.6016692760001,22ND AVE AND E YESLER WAY,2.0,NONE,24,0,0.0,3.0,50.666666666666664,4.0,2.0,23.333333333333332
-122.381060811,47.679958137,19TH AVE NW AND NW CANOE PL,0.0,NONE,1,1,47.0,3.0,72.0,2.3333333333333335,0.0,20.0
-122.263498158,47.672827764,60TH AVE NE AND NE 61ST ST,0.0,NONE,0,1,19.0,4.0,50.25,6.0,0.0,20.0
-122.381907982,47.7004614510001,NW 98TH ST AND DEAD END 1,0.0,NONE,0,0,0.0,1.0,44.0,1.0,0.0,20.0
-122.330921817,47.5541477990001,3RD AVE S AND S BRANDON ST,0.0,NONE,10,1,60.0,4.0,37.75,0.5,0.0,20.0
-122.30871205,47.6747725480001,18TH AVE NE AND NE 63RD ST,0.0,NONE,0,1,47.0,3.0,24.333333333333332,3.6666666666666665,0.0,20.0
-122.349564983,47.6444002900001,4TH AVE N AND NEWELL ST,0.0,NONE,1,1,55.0,3.0,49.666666666666664,12.666666666666666,0.0,20.0
-122.308642613,47.6268586250001,18TH AVE E AND E ALOHA ST,3.0,NONE,4,1,25.0,4.0,20.25,4.5,0.0,22.5
-122.299035819,47.542114295,BEACON ER AVE S AND S BRIGHTON ST,2.0,NONE,1,1,50.0,2.0,44.5,1.0,0.0,20.0
-122.302338839,47.5464261020001,24TH AVE S AND S GRAHAM ST,2.0,NONE,23,1,50.0,4.0,87.0,6.75,0.0,22.5
-122.32299013,47.658934964,5TH AVE NE AND NE 43RD ST,0.0,NONE,1,1,90.0,3.0,79.0,5.333333333333333,0.0,20.0
-122.357929234,47.628718872,1ST AVE W AND W PROSPECT ST,0.0,NONE,1,1,19.0,4.0,41.5,8.0,0.0,20.0
-122.27950524,47.673153443,45TH AVE NE AND OBERLIN AVE NE,0.0,NONE,0,1,47.0,3.0,53.333333333333336,4.333333333333333,0.0,20.0
-122.300628001,47.5750840750001,25TH AVE S AND S HANFORD W ST,0.0,NONE,3,1,50.0,1.0,80.0,4.0,0.0,20.0
-122.339287805,47.7032301780001,ASHWORTH AVE N AND N 103RD ST,0.0,NONE,13,1,50.0,4.0,74.25,4.25,0.0,20.0
-122.277490374,47.648832821,WEBSTER POINT RD NE AND DEAD END,0.0,NONE,0,0,0.0,1.0,34.0,7.0,0.0,20.0
-122.318595673,47.585083495,11TH AVE S AND BEACON AVE S,2.0,NONE,2,1,35.0,4.0,7.5,5.0,0.0,22.5
-122.321397756,47.5798078120001,AIRPORT WAY S AND S LANDER N ST,1.0,CITY,9,0,0.0,2.0,76.0,0.0,2.0,30.0
-122.279375747,47.6612924240001,45TH AVE NE AND NE 45TH ST,3.0,NONE,2,1,50.0,3.0,77.33333333333333,6.0,2.0,23.333333333333332
-122.332784116,47.726424965,BAGLEY AVE N AND DEAD END 3,0.0,NONE,0,0,0.0,1.0,81.0,2.0,0.0,20.0
-122.306350241,47.603512649,20TH AVE AND E SPRUCE ST,0.0,NONE,12,1,50.0,4.0,9.75,3.75,0.0,20.0
-122.294170819,47.5760084360001,30TH AVE S AND S MOUNT BAKER WB S BV,3.0,NONE,1,1,30.0,2.0,44.5,1.0,0.0,22.5
-122.380087589,47.5664891280001,38TH AVE SW AND SW DAKOTA ST,0.0,NONE,2,1,47.0,4.0,60.75,8.5,0.0,20.0
-122.350049823,47.7028943920001,FREMONT AVE N AND N 102ND ST,0.0,NONE,4,1,55.0,4.0,81.75,1.5,0.0,20.0
-122.364422496,47.6302414140001,6TH AVE W AND DEAD END 3,0.0,NONE,0,1,19.0,1.0,10.0,5.0,0.0,20.0
-122.378884589,47.6678950850001,17TH AVE NW AND NW 54TH ST,0.0,NONE,5,1,40.0,3.0,29.0,1.6666666666666667,0.0,20.0
-122.333781358,47.693793204,MERIDIAN AVE N AND N 90TH S ST,0.0,NONE,0,1,50.0,2.0,79.0,3.0,0.0,20.0
-122.326666756,47.5612103920001,6TH AVE S AND S ALASKA ST,0.0,NONE,1,0,0.0,3.0,30.333333333333332,0.3333333333333333,0.0,20.0
-122.272646362,47.5504035430001,48TH AVE S AND S MEAD ST,0.0,NONE,6,1,50.0,4.0,60.0,3.0,0.0,20.0
-122.283072375,47.621244129,LAKE WASHINGTON BLVD E AND MCGILVRA BLVD E,3.0,NONE,3,1,30.0,3.0,54.666666666666664,3.6666666666666665,0.0,25.0
-122.294863275,47.6152793740001,29TH AVE AND E PINE ST,0.0,NONE,3,1,50.0,4.0,52.0,6.75,0.0,20.0
-122.320203346,47.581884302,S STACY ST AND DEAD END 1,0.0,NONE,0,0,0.0,1.0,0.0,1.0,0.0,20.0
-122.374364415,47.640686574,GILMAN UPPER DR W AND W WHEELER ST,0.0,NONE,2,1,30.0,1.0,0.0,14.0,0.0,20.0
-122.340889129,47.6325525720001,8TH AVE N AND WESTLAKE N AVE N,1.0,CITY,12,2,35.0,1.0,0.0,4.0,0.0,20.0
-122.320598716,47.523059468,DUWAMISH RIVER TRL AND S HENDERSON ST,0.0,NONE,0,1,20.0,1.0,0.0,2.0,0.0,20.0
-122.338903694,47.6092851430001,2ND AVE AND PIKE ST,1.0,CITY,58,2,15.0,4.0,80.25,2.5,1.5,25.0
-122.299105831,47.6176368160001,E HOWELL ST AND DEAD END,0.0,NONE,0,1,40.0,1.0,81.0,8.0,0.0,20.0
-122.388937557,47.6434654930001,25TH AVE W AND W RAYE ST,0.0,NONE,4,1,45.0,4.0,91.75,4.25,0.0,20.0
-122.398317854,47.6686241780001,32ND AVE NW AND NW MARKET ST,3.0,NONE,12,2,52.5,4.0,84.25,3.75,1.75,23.75
-122.339768873,47.620878931,9TH AVE N AND THOMAS ST,1.0,NONE,23,1,55.0,4.0,60.5,2.0,1.5,22.5
-122.324460075,47.6722547470001,4TH AVE NE AND NE 60TH ST,0.0,NONE,0,1,55.0,3.0,77.66666666666667,5.0,0.0,20.0
-122.289910504,47.5724752410001,34TH AVE S AND S HINDS ST,0.0,NONE,0,1,45.0,3.0,55.0,3.0,0.0,20.0
-122.371623311,47.6371672110001,11TH AVE W AND GILMAN UPPER DR W,0.0,NONE,0,1,35.0,1.0,0.0,2.0,0.0,20.0
-122.372762833,47.6906265430001,13TH AVE NW AND NW 85TH ST,1.0,NONE,10,1,60.0,4.0,87.0,0.75,1.5,22.5
-122.331276653,47.7068313820001,CORLISS AVE N AND CORLISS AV I5 SB ON RP,5.0,NONE,2,0,0.0,1.0,0.0,3.0,0.0,30.0
-122.296970552,47.5868948520001,28TH AVE S AND S GRAND ST,0.0,NONE,0,1,47.0,3.0,65.0,8.666666666666666,0.0,20.0
-122.289821955,47.5767476500001,34TH AVE S AND S MOUNT BAKER EB BV,3.0,NONE,0,1,30.0,1.0,76.0,4.0,0.0,20.0
-122.344589594,47.6586701200001,WOODLAND PARK AVE N AND N MOTOR PL,0.0,NONE,0,1,45.0,3.0,24.0,5.0,0.0,20.0
-122.286059642,47.5370651540001,S MYRTLE PL AND S OTHELLO ST,1.0,NONE,3,2,32.5,2.0,38.0,3.5,2.0,25.0
-122.307277799,47.6379234780001,19TH AVE E AND BOYER AVE E,2.0,NONE,2,1,60.0,4.0,45.25,5.75,0.0,22.5
-122.389545294,47.559326658,45TH AVE SW AND SW EDMUNDS ST,0.0,NONE,2,1,40.0,4.0,56.0,7.0,0.0,20.0
-122.292998194,47.5844701760001,31ST AVE S AND S HILL ST,3.0,NONE,0,1,50.0,3.0,49.333333333333336,5.333333333333333,2.0,23.333333333333332
-122.285288568,47.711885275,40TH AVE NE AND NE 115TH ST,0.0,NONE,3,1,50.0,4.0,91.0,5.75,0.0,20.0
-122.364425219,47.629600705,6TH AVE W AND W HIGHLAND DR,0.0,NONE,1,1,19.0,4.0,13.5,4.0,0.0,20.0
-122.312519406,47.5716319430001,16TH AVE S AND S SPOKANE ST,2.0,NONE,10,1,40.0,3.0,48.666666666666664,7.333333333333333,1.0,23.333333333333332
-122.38574974,47.5451209670001,42ND AVE SW AND FAUNTLEROY WAY SW,1.0,NONE,13,2,35.0,4.0,73.75,2.5,1.0,22.5
-122.326730295,47.566517221,6TH AVE S AND S INDUSTRIAL EB WAY,2.0,NONE,1,0,0.0,2.0,38.0,0.0,0.0,22.5
-122.343544141,47.628019522,AURORA AVE N AND WARD ST,1.0,NONE,10,0,0.0,3.0,22.666666666666668,6.0,1.3333333333333333,33.333333333333336
-122.329723046,47.5228224100001,4TH AVE S AND S HENDERSON S ST,0.0,NONE,2,1,47.0,2.0,23.0,2.0,0.0,20.0
-122.322649277,47.6827819010001,NE MAPLE LEAF PL AND DEAD END,0.0,NONE,0,0,0.0,1.0,78.0,7.0,0.0,20.0
-122.38529614,47.699721438,23RD AVE NW AND NW 97TH ST,0.0,NONE,0,2,19.0,4.0,31.75,9.25,0.0,20.0
-122.293391673,47.6909231110001,32ND AVE NE AND NE 86TH ST,0.0,NONE,0,1,47.0,4.0,92.5,1.25,0.0,20.0
-122.353950371,47.692414329,PHINNEY AVE N AND N 87TH ST,0.0,NONE,12,2,42.5,4.0,54.5,5.5,0.0,20.0
-122.296655781,47.6225156290001,E ARTHUR PL AND E HARRISON ST,0.0,NONE,0,1,45.0,3.0,32.333333333333336,3.0,0.0,20.0
-122.290360608,47.61289736,33RD AVE AND E UNION ST,3.0,NONE,0,4,33.25,4.0,40.5,1.5,1.5,22.5
-122.287217682,47.65913835,NE 42ND ST AND DEAD END 2,0.0,NONE,0,1,40.0,1.0,87.0,6.0,0.0,20.0
-122.298489418,47.591635185,26TH AVE S AND S WADSWORTH PL,0.0,NONE,0,1,50.0,3.0,68.33333333333333,4.0,0.0,20.0
-122.286141448,47.5586581760001,37TH AVE S AND S EDMUNDS ST,0.0,NONE,2,1,55.0,3.0,18.666666666666668,1.3333333333333333,0.0,20.0
