X,Y,UNITDESC,ARTERIALCLASSCD,SIGNAL_TYPE_x,collision_count,streetlights,streetlights_height_avg,related_street_num,PVMTCONDINDX1_mean,SLOPE_PCT_mean,TRANCLASS_mean,SPEEDLIMIT_mean,SIGNAL_TYPE_y,COMPTYPE,CONDITION,INT_SIGNAL_TYPE_CD,PEDSIGNALYN,PEDAUDIODEVICEYN,PP_QUANTITY,PH_QUANTITY,BIKESIGNALHDYN,LTTURNSIGNALYN,RTTURNSIGNALYN,DETDEVSTOPBARYN,DETDEVADVANCEDYN,DETDEVSYSTEMYN,NUM_ATTACHMENTS
-122.321397756,47.5798078120001,AIRPORT WAY S AND S LANDER N ST,1.0,CITY,9,0,0.0,2.0,76.0,0.0,2.0,30.0,SEMI,74.0,POOR,CITY,N,N,6.0,12.0,N,N,N,N,Y,N,37.0
-122.338903694,47.6092851430001,2ND AVE AND PIKE ST,1.0,CITY,58,2,15.0,4.0,80.25,2.5,1.5,25.0,PRE,74.0,FAIR,CITY,N,N,8.0,8.0,Y,N,N,N,N,N,0.0
-122.339768873,47.620878931,9TH AVE N AND THOMAS ST,1.0,NONE,23,1,55.0,4.0,60.5,2.0,1.5,22.5,SEMI,74.0,GOOD,NONE,N,Y,8.0,8.0,N,N,N,Y,Y,N,0.0
-122.355414875,47.7014610840001,GREENWOOD AVE N AND N 100TH ST,2.0,NONE,27,2,50.0,4.0,57.75,5.0,1.0,22.5,SEMI,74.0, ,NONE,N,N,8.0,0.0,N,N,N,N,N,N,0.0
-122.387576487,47.6686786920001,24TH AVE NW AND NW MARKET ST,2.0,CITY,27,0,0.0,4.0,21.5,3.5,1.75,25.0,SEMI,74.0,POOR,CITY,N,N,0.0,16.0,N,N,N,N,Y,N,0.0
-122.327675197,47.597516698,5TH AVE S AND S WELLER ST,2.0,CITY,9,4,16.25,3.0,24.0,1.0,1.3333333333333333,23.33333333333333,PRE,74.0,FAIR,CITY,N,N,6.0,6.0,N,N,N,N,N,N,0.0
-122.356622063,47.629572571,HIGHLAND DR AND QUEEN ANNE AVE N,2.0,NONE,10,3,46.66666666666666,3.0,44.66666666666666,9.666666666666666,1.3333333333333333,23.33333333333333,SEMI,74.0, ,NONE,Y,N,2.0,0.0,N,N,N,N,N,N,0.0
-122.314939222,47.524742024,14TH AVE S AND S TRENTON ST,1.0,CITY,17,4,43.75,4.0,64.5,1.5,1.5,22.5,SEMI,74.0,POOR,CITY,N,N,4.0,16.0,N,N,N,N,N,N,0.0
-122.329841605,47.604412908,5TH AVE AND CHERRY ST,1.0,STATE,43,3,8.666666666666666,4.0,39.5,7.75,1.75,25.0,SEMI,74.0,GOOD,STATE,N,N,0.0,20.0,N,N,N,N,N,N,1.0
-122.348746108,47.6146958040001,1ST AVE AND WALL ST,2.0,CITY,38,2,0.0,4.0,44.75,4.5,2.5,25.0,PRE,74.0,POOR,CITY,N,N,0.0,16.0,N,N,N,N,N,N,0.0
-122.345017037,47.726859555,AURORA AVE N AND N 135TH ST,1.0,CITY,50,1,60.0,4.0,44.25,2.75,1.0,27.5,SEMI,74.0,POOR,CITY,N,N,8.0,8.0,N,Y,N,Y,Y,Y,26.0
-122.320872892,47.6199077470001,BROADWAY E AND E OLIVE WAY,1.0,CITY,134,2,30.0,3.0,50.333333333333336,0.6666666666666666,2.333333333333333,25.0,PRE,74.0,POOR,CITY,N,Y,8.0,2.0,N,N,N,N,N,N,0.0
-122.292250178,47.728288273,NE 137TH ST AND LAKE CITY WAY NE,1.0,CITY,34,0,0.0,4.0,37.25,5.0,1.0,27.5,SEMI,74.0,POOR,CITY,N,Y,8.0,6.0,N,Y,N,N,N,N,0.0
-122.376699939,47.5228610880001,35TH AVE SW AND SW HENDERSON ST,1.0,CITY,35,4,34.75,4.0,57.0,2.75,1.0,22.5,SEMI,74.0,FAIR,CITY,N,N,4.0,8.0,N,N,N,N,N,N,0.0
-122.381981559,47.6484578660001,20TH AVE W AND W DRAVUS ST,1.0,CITY,34,1,60.0,4.0,63.5,2.25,1.5,25.0,SEMI,74.0,POOR,CITY,N,N,8.0,16.0,Y,N,N,N,N,N,0.0
-122.296767842,47.6016561530001,M L KING JR WAY AND E YESLER WAY,2.0,CITY,40,3,35.0,3.0,52.333333333333336,6.0,3.0,25.0,SEMI,74.0,GOOD,CITY,N,N,0.0,8.0,N,Y,N,N,N,N,0.0
-122.300009552,47.660349577,MONTLAKE BLVD NE AND NE 44TH ST,1.0,CITY,30,1,35.0,3.0,37.333333333333336,0.6666666666666666,2.333333333333333,28.33333333333333,SEMI,74.0,POOR,CITY,N,N,4.0,8.0,N,N,N,N,N,N,0.0
-122.337591982,47.6112073730001,4TH AVE AND PINE ST,1.0,CITY,106,0,0.0,4.0,83.0,1.5,1.25,25.0,PRE,74.0,FAIR,CITY,N,N,0.0,8.0,Y,N,N,N,N,N,0.0
