INT_KEY,X,Y,INTERSECTION_NAME,COUNT_COLLISIONS,COUNT_RELATED_STREETS,AVG_PVMT_CONDITION,AVG_SPEEDLIMIT,SIGNAL_TYPE,TRAFFIC_CIRCLE_EXISTS,ARTERIAL_CLASSIFICATION,COUNT_STOPSIGNS,COUNT_YEILDSIGNS,LIGHTPOLE_COUNT,LIGHTPOLE_AVG_HEIGHT,INTERSECTION_SUBAREA
340313,-122.329731967,47.523050838,4TH AVE S AND S HENDERSON N ST,0,2,46,20,NONE,False,0,0,0,0,0,GRDWM
37264,-122.371401132,47.692057825,12TH AVE NW AND NW 87TH ST,0,3,95.333333333,20,NONE,False,0,0,0,1,50,BLRD
30231,-122.289175918,47.617639479,34TH AVE AND E HOWELL ST,0,4,43,22.5,NONE,False,3,2,0,2,50,CNTRL
25752,-122.320648457,47.674000052,NE 63RD ST AND NE RAVENNA EB BV,1,1,78,20,NONE,False,1,0,0,1,0,NE
33729,-122.263467729,47.547164943,WILSON AVE S AND S UPLAND RD,1,3,43.333333333,23.333333333,NONE,False,2,1,0,1,50,SE
24066,-122.360652282,47.684739612,3RD AVE NW AND NW 77TH ST,6,4,77.75,22.5,NONE,False,3,2,0,1,50,NW
37743,-122.30536138,47.695748585,RAVENNA AVE NE AND NE 92ND ST,14,4,68,22.5,NONE,False,1,2,0,0,0,NE
35518,-122.286434258,47.599642953,LAKESIDE UPPER AVE S AND S LESCHI PL,2,2,95,20,NONE,False,0,1,0,1,55,CNTRL
34465,-122.280735285,47.537049006,42ND AVE S AND S OTHELLO ST,10,2,81,25,NONE,False,2,0,0,2,33,SE
29288,-122.296116333,47.618899331,M L KING JR WAY AND E DENNY WAY,19,3,39,21.666666667,NONE,False,3,2,0,1,55,CNTRL
25529,-122.338504194,47.665035305,WOODLAWN AVE N AND N 50TH E ST,16,1,55,20,NONE,False,1,1,0,1,50,LKUN
35732,-122.340919002,47.730491739,INTERLAKE AVE N AND N 140TH E ST,0,1,56,20,NONE,False,0,0,0,1,40,NW
35386,-122.284863206,47.516983590,38TH AVE S AND S ROXBURY ST,0,3,86,20,NONE,False,0,0,0,1,40,GRDWM
34745,-122.380779124,47.521098261,38TH AVE SW AND SW BARTON W ST,1,1,90,20,NONE,False,2,1,0,1,50,SW
26867,-122.344714015,47.653405965,BRIDGE WAY N AND WOODLAND PK S AVE N,11,2,74,25,NONE,False,2,2,0,0,0,LKUN
31436,-122.299012562,47.585481268,26TH AVE S AND S PLUM ST,0,3,64.666666667,20,NONE,False,0,0,0,1,35,SE
30732,-122.303738935,47.601669276,22ND AVE AND E YESLER WAY,24,3,50.666666667,23.333333333,NONE,False,2,2,0,0,0,CNTRL
23923,-122.381060811,47.679958137,19TH AVE NW AND NW CANOE PL,1,3,72,20,NONE,False,0,0,0,1,47,BLRD
26287,-122.263498158,47.672827764,60TH AVE NE AND NE 61ST ST,0,4,50.25,20,NONE,False,0,0,0,1,19,NE
36919,-122.381907982,47.700461451,NW 98TH ST AND DEAD END 1,0,1,44,20,NONE,False,0,0,0,0,0,BLRD
33154,-122.330921817,47.554147799,3RD AVE S AND S BRANDON ST,10,4,37.75,20,NONE,False,0,0,0,1,60,GRDWM
25975,-122.30871205,47.674772548,18TH AVE NE AND NE 63RD ST,0,3,24.333333333,20,NONE,False,0,0,0,1,47,NE
28059,-122.349564983,47.644400290,4TH AVE N AND NEWELL ST,1,3,49.666666667,20,NONE,False,0,0,0,1,55,MGNL-QA
29323,-122.308642613,47.626858625,18TH AVE E AND E ALOHA ST,4,4,20.25,22.5,NONE,False,3,2,0,1,25,E
167607,-122.299035819,47.542114295,BEACON ER AVE S AND S BRIGHTON ST,1,2,44.5,20,NONE,False,2,0,0,1,50,GRDWM
33402,-122.302338839,47.546426102,24TH AVE S AND S GRAHAM ST,23,4,87,22.5,NONE,False,2,2,0,1,50,GRDWM
27084,-122.32299013,47.658934964,5TH AVE NE AND NE 43RD ST,1,3,79,20,NONE,False,0,0,0,1,90,LKUN
28589,-122.357929234,47.628718872,1ST AVE W AND W PROSPECT ST,1,4,41.5,20,NONE,False,0,0,0,1,19,MGNL-QA
26103,-122.27950524,47.673153443,45TH AVE NE AND OBERLIN AVE NE,0,3,53.333333333,20,NONE,False,0,0,0,1,47,NE
31501,-122.300628001,47.575084075,25TH AVE S AND S HANFORD W ST,3,1,80,20,NONE,False,0,0,0,1,50,GRDWM
37285,-122.339287805,47.703230178,ASHWORTH AVE N AND N 103RD ST,13,4,74.25,20,NONE,False,0,0,0,1,50,NW
27383,-122.277490374,47.648832821,WEBSTER POINT RD NE AND DEAD END,0,1,34,20,NONE,False,0,0,0,0,0,NE
31252,-122.318595673,47.585083495,11TH AVE S AND BEACON AVE S,2,4,7.5,22.5,NONE,False,2,1,0,1,35,GRDWM
31299,-122.321397756,47.579807812,AIRPORT WAY S AND S LANDER N ST,9,2,76,30,CITY,False,1,0,0,0,0,GRDWM
27317,-122.279375747,47.661292424,45TH AVE NE AND NE 45TH ST,2,3,77.333333333,23.333333333,NONE,False,3,1,0,1,50,NE
35952,-122.332784116,47.726424965,BAGLEY AVE N AND DEAD END 3,0,1,81,20,NONE,False,0,0,0,0,0,NW
30214,-122.306350241,47.603512649,20TH AVE AND E SPRUCE ST,12,4,9.75,20,NONE,False,0,0,0,1,50,CNTRL
31512,-122.294170819,47.576008436,30TH AVE S AND S MOUNT BAKER WB S BV,1,2,44.5,22.5,NONE,False,3,0,0,1,30,SE
31889,-122.380087589,47.566489128,38TH AVE SW AND SW DAKOTA ST,2,4,60.75,20,NONE,True,0,0,0,1,47,SW
37392,-122.350049823,47.702894392,FREMONT AVE N AND N 102ND ST,4,4,81.75,20,NONE,True,0,0,0,1,55,NW
28622,-122.364422496,47.630241414,6TH AVE W AND DEAD END 3,0,1,10,20,NONE,False,0,0,0,1,19,MGNL-QA
25149,-122.378884589,47.667895085,17TH AVE NW AND NW 54TH ST,5,3,29,20,NONE,False,0,0,0,1,40,BLRD
37592,-122.333781358,47.693793204,MERIDIAN AVE N AND N 90TH S ST,0,2,79,20,NONE,False,0,0,1,1,50,NW
32387,-122.326666756,47.561210392,6TH AVE S AND S ALASKA ST,1,3,30.333333333,20,NONE,False,0,0,0,0,0,GRDWM
33522,-122.272646362,47.550403543,48TH AVE S AND S MEAD ST,6,4,60,20,NONE,False,0,0,0,1,50,SE
29469,-122.283072375,47.621244129,LAKE WASHINGTON BLVD E AND MCGILVRA BLVD E,3,3,54.666666667,25,NONE,False,3,5,0,1,30,E
30005,-122.294863275,47.615279374,29TH AVE AND E PINE ST,3,4,52,20,NONE,False,0,0,0,1,50,CNTRL
